conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4d39b27a-b34f-4c89-8d46-df844d42f728,hallita tietämystä toimintapoliittista vaikuttamista varten,released,skill/competence,cross-sector,,"Lisätä tutkimustulosten vaikutusta ja käyttöä politiikassa varmistamalla, että hyödyllisimmät tiedot toimitetaan ja ymmärretään hyvissä ajoin, jotta päättäjät voivat ottaa ne huomioon koko toimintapoliittisen syklin aikana.
   ",http://data.europa.eu/esco/skill/f914df1a-c9fd-47ab-b1ec-bc7c6f572640 | http://data.europa.eu/esco/skill/cdb2aecd-9dca-48fd-8d56-f0aace3ab5a9,vaikuttaa päätöksentekijöihin sosiaalipalveluasioissa | esittää yleisiä tietoja
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4f5c1208-62fd-4e5a-a51e-306c06947e11,"hallinnoida löydettävissä, saatavilla ja uudelleenkäytettävissä olevia sekä yhteentoimivia tietoja",released,skill/competence,cross-sector,,"Tuottaa, kuvailla, tallentaa, säilyttää ja (uudelleen)käyttää tutkimusdataa FAIR-periaatteiden (löydettävissä, saatavilla, yhteentoimiva ja uudelleenkäytettävissä) mukaisesti siten, että tietojen saatavuus on mahdollisimman avointa ja riittävän rajoitettua.
	",http://data.europa.eu/esco/skill/7eafec38-621a-4b6e-9298-bfe70ec0b253 | http://data.europa.eu/esco/skill/9ff9db9d-d14b-426e-83f3-e7449af6c79f,tehdä akateemista tutkimusta tai markkinatutkimusta | hallita tietoja
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4fabca9a-7435-4f33-b1da-3cdb00340fdc,tehdä tieteellistä tutkimusta,released,skill/competence,cross-sector,,"Osallistua uuden tiedon luomiseen muotoilemalla tutkimuskysymyksiä, tutkimalla, parantamalla tai kehittämällä käsitteitä, teorioita, malleja, tekniikoita, välineitä, ohjelmistoja tai toimintamenetelmiä sekä käyttämällä tieteellisiä menetelmiä ja tekniikoita.
    ",http://data.europa.eu/esco/skill/7eafec38-621a-4b6e-9298-bfe70ec0b253,tehdä akateemista tutkimusta tai markkinatutkimusta
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/518dc04d-092d-4fa1-bd82-88b7a9278ef7,hallinnoida teollis- ja tekijänoikeuksia,released,skill/competence,sector-specific,,"Käsitellä yksityisiä laissa suojeltuja oikeuksia, jotka suojaavat teollis- ja tekijänoikeuksien piiriin kuuluvia tuotteita laittomilta rikkomuksilta.
   ",http://data.europa.eu/esco/skill/f4bcdb75-df28-441d-a52b-9730904f36a1 | http://data.europa.eu/esco/skill/0d80a782-99ff-4f49-abbe-c72524c6f390,käyttää oikeuksia ja velvollisuuksia | neuvotella sopimuksista ja hallinnoida niitä
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5f0082ab-2131-49b5-94d6-a1821daf57d6,hakea tutkimusrahoitusta,released,skill/competence,cross-sector,,"Määrittää keskeiset rahoituslähteet ja laatia tutkimusapurahahakemus määrärahojen tai apurahojen saamiseksi.
	",http://data.europa.eu/esco/skill/0ffce932-cec4-4fec-87e6-df23fb6bdc12 | http://data.europa.eu/esco/skill/1bc1cf2a-a7f6-4769-a13b-cc26a2214498,"etsiä apurahoja | laatia asiakirjoja sopimuksia, hakemuksia tai lupia varten"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/60c78287-22eb-4103-9c8c-28deaa460da0,työskennellä ryhmässä,released,skill/competence,transversal,työskennellä tiimeissä | työskennellä tiimissä,"Työskennellä luottavaisesti ryhmässä siten, että jokainen hoitaa oman osuutensa kokonaisuudesta.",http://data.europa.eu/esco/skill/036afa6e-cdde-4b38-a53a-8e7910a840e1,tehdä yhteistyötä ryhmissä ja verkostoissa
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7954861c-86d4-4529-afbb-2c23dab9ac74,löytää sovintoratkaisu,released,skill/competence,transversal,saavuttaa sovintoratkaisu | päästä kompromissiin | saavuttaa kompromissi,Kommunikoida muiden kanssa yhteisymmärryksen saavuttamiseksi tai jonkin erimielisyyden ratkaisemiseksi pitäen mielessä omat ja muiden aikomukset ja päämäärät.,http://data.europa.eu/esco/skill/6f142deb-03a9-4cd7-94ce-e0f023ae2169,viestiä
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7a147904-22b3-498a-b4d9-7bceeb86b45d,sietää stressiä,released,skill/competence,transversal,toimia paineen alla | sietää paineita,"Käsitellä haasteita, häiriöitä ja muutoksia sekä toipua nopeasti takaiskuista ja vastoinkäymisistä.
  ",http://data.europa.eu/esco/skill/2b2c3254-7f6c-47e2-84f1-aece946fbfae,säilyttää myönteinen asenne
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7dd94ad3-13d6-43fe-8b94-51fcbf67ced9,ajatella kriittisesti,released,skill/competence,transversal,,"Tehdä ja puolustaa päätöksiä sisäistetyn tiedon ja ulkoisten kriteerien perusteella. Arvioida kriittisesti tiedon uskottavuutta ja luotettavuutta ennen sen käyttöä tai välittämistä muille. Kehittää itsenäistä ja kriittistä ajattelua.
  ",http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,"käsitellä tietoa, ideoita ja käsitteitä"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/833289fa-3646-4010-9d9e-93ba8c9ef2d8,noudattaa tutkimuseettisesti vastuullisia ja oikeita toimintatapoja tutkimustyössä,released,skill/competence,cross-sector,,"Soveltaa eettisiä perusperiaatteita ja lainsäädäntöä tieteelliseen tutkimukseen, mukaan lukien tutkimuksen rehellisyyttä koskevat asiat. Tehdä tai arvioida tutkimusta ja raportoida siitä, jotta voidaan torjua väärinkäytöksiä, kuten sepittämistä, havaintojen vääristelemistä ja plagiointia.
	",http://data.europa.eu/esco/skill/7eafec38-621a-4b6e-9298-bfe70ec0b253,tehdä akateemista tutkimusta tai markkinatutkimusta
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/872a1632-f1db-4feb-bb27-0a6a359b7591,edistää avointa innovointia tutkimuksessa,released,skill/competence,cross-sector,,"Edistää integroitua yhteistyötä, jossa eri sidosryhmät luovat yhdessä yhteisiin arvoihin perustuvia innovaatioita.",http://data.europa.eu/esco/skill/7eafec38-621a-4b6e-9298-bfe70ec0b253,tehdä akateemista tutkimusta tai markkinatutkimusta
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/979cf728-896f-4f2c-8fa8-2698ca0d4930,julkaista akateemisia tutkimuksia,released,skill/competence,cross-sector,,"Tehdä akateemista tutkimusta yliopistossa, korkeakoulussa tai itsenäisesti sekä julkaista tutkimuksia kirjoina tai akateemisissa aikakauslehdissä oman alan edistämiseksi ja akateemisen tunnustuksen saavuttamiseksi.
    ",http://data.europa.eu/esco/skill/6e62e776-fbfa-486c-a6df-58cd239c86fe | http://data.europa.eu/esco/skill/2b1e2927-3542-48da-9063-02925e7562c1,harjoittaa teknistä tai akateemista kirjoittamista | levittää tulokset tiedeyhteisölle
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/988f4ac3-a37c-4b0a-a40f-4e0e56b5919e,edistää tietämyksen siirtoa,released,skill/competence,cross-sector,,"Luoda laaja tietoisuus tietämyksen hyödyntämisen prosesseista, jotta voidaan maksimoida teknologian, henkisen omaisuuden, asiantuntemuksen ja valmiuksien kaksisuuntainen vaihto tutkimussektorin ja teollisuuden tai julkisen sektorin välillä.
	",http://data.europa.eu/esco/skill/efbb3d3b-a41c-4e0a-90a8-8e611eb1db9f,"neuvoa oikeudellisissa, sääntely- tai menettelykysymyksissä"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9a58cd26-58eb-4a1c-b1b6-64037fe9cfa1,harjoittaa abstraktia ajattelua,released,skill/competence,cross-sector,,"Osoittaa kykyä käyttää käsitteitä yleiskäsitteiden muodostamiseen ja ymmärtämiseen sekä yhdistää ne muihin aiheisiin, tapahtumiin tai kokemuksiin.
    ",http://data.europa.eu/esco/skill/ab877a24-335d-4676-b366-c5c06651481a,"viestintä, yhteistyö ja luovuus"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a584a638-a2c0-4b3c-bdf3-a64f87225be9,opastaa henkilöitä,released,skill/competence,cross-sector,mentoroida henkilöitä,"Opastaa henkilöitä antamalla henkistä tukea, vaihtamalla kokemuksia ja antamalla henkilöille neuvoja, joista voi olla apua henkilökohtaisessa kehityksessä, mukauttaa tuki henkilön erityistarpeisiin ja huomioida henkilön pyynnöt ja odotukset.",http://data.europa.eu/esco/skill/e2bdf081-333a-414f-b8ac-93c76290f167,valmentaa ja opastaa
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a8b3957f-08b4-4a76-927d-0b2e3d0dbd39,yhdistää tutkimusjulkaisuja,released,skill/competence,cross-sector,koostaa tutkimusjulkaisuja | yhdistää tutkimusjulkaisut | koostaa tutkimusjulkaisut | syntetisoida tutkimusjulkaisuja | kirjoittaa tutkimusjulkaisuja,"Lukea ja tulkita tieteellisiä julkaisuja, joissa esitetään tutkimusongelma, tutkimusmenetelmä, ratkaisu ja hypoteesi. Verrata niitä keskenään ja poimia tarvittavat tiedot.",http://data.europa.eu/esco/skill/f715be1d-5fc4-49d3-82a5-0b8090d12849 | http://data.europa.eu/esco/skill/29dcc31e-a8d6-4a62-b3c1-2de81e966e39 | http://data.europa.eu/esco/skill/9af1bd12-01bd-4d6a-947b-69e64f23150a,yhdistää tietoa | koota tietoa fyysisistä tai sähköisistä lähteistä | käsitellä laadullisia tietoja
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a8d24a95-47b3-4f88-92e7-06600bcd3612,hallita henkilökohtaista ammatillista kehitystä,released,skill/competence,cross-sector,,"Ottaa vastuu elinikäisestä oppimisesta ja jatkuvasta ammatillisesta kehittymisestä. Harjoittaa ammattitaitoa tukevaa ja päivittävää oppimista. Määrittää ammatillisen kehityksen tärkeimmät osa-alueet omien käytäntöjen tarkastelun pohjalta ja pitämällä yhteyttä vertais- ja sidosryhmiin.
    ",http://data.europa.eu/esco/skill/7e0b93e0-0de7-4607-b07f-27a6828d3ff0 | http://data.europa.eu/esco/skill/468135b7-5757-48c3-9509-fde0e13ec5be,laatia opetusohjelmia | hallita henkilökohtaista kehittymistä
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/adc6dc11-3376-467b-96c5-9b0a21edc869,ratkaista ongelmia,released,skill/competence,transversal,,"Löytää monenlaisissa yhteyksissä ratkaisuja käytännön ongelmiin tai toiminnallisiin tai käsitteellisiin ongelmiin.
  ",http://data.europa.eu/esco/skill/13d301d0-98cb-414f-a8f9-a3f059228133,ratkaista ongelmia
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b363bb5f-2c79-40af-94da-33e06f9dee9f,soveltaa monimuoto-oppimista,released,skill/competence,cross-sector,,"Tuntea monimuoto-oppimisen välineet ja osata yhdistää perinteinen lähioppiminen ja verkko-opiskelu käyttämällä digitaalisia välineitä, verkkoteknologiaa ja verkko-oppimisen menetelmiä.
    ",http://data.europa.eu/esco/skill/caede8f1-6658-4d78-9eb4-2ad2c7ebf09b,opettaa ja kouluttaa
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bdcf429c-5ccf-4c3d-bb61-4c987573a35e,osoittaa yrittäjähenkisyyttä,released,skill/competence,transversal,,"Kehittää, organisoida ja hallita omaa yrityshankettaan tunnistamalla mahdollisuudet ja tarttumalla niihin sekä saamalla liikkeelle resursseja kannattavuutta unohtamatta. Osoittaa proaktiivista asennetta ja määrätietoista pyrkimystä saada liiketoiminta menestymään.
  ",http://data.europa.eu/esco/skill/6c6957bf-cf1f-4483-9c7e-1655f251b01a,soveltaa yrittäjyys- ja taloustaitoja sekä -osaamista
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c3c2420c-ce9a-4371-8eed-1db479c3a562,kirjoittaa tieteellisiä julkaisuja,released,skill/competence,cross-sector,,"Omaa asiantuntemuksen alaa koskevien oman tieteellisen tutkimuksen hypoteesin, havaintojen ja loppupäätelmien esittäminen kirjallisesti ammatillisessa julkaisussa.
	",http://data.europa.eu/esco/skill/7a34b3d9-bd3b-4f4e-a0f6-f97439901cb7 | http://data.europa.eu/esco/skill/be40c4c3-a855-4d67-9ca5-6f4428c34b0d | http://data.europa.eu/esco/skill/6e62e776-fbfa-486c-a6df-58cd239c86fe | http://data.europa.eu/esco/skill/2b1e2927-3542-48da-9063-02925e7562c1,käyttää tieteellisiä menetelmiä | tarjota kirjallista sisältöä | harjoittaa teknistä tai akateemista kirjoittamista | levittää tulokset tiedeyhteisölle
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/cc61f9e5-d4fc-470e-8606-1ce865ff8386,kehittää tutkijoiden ja tieteentekijöiden ammatillista verkostoa,released,skill/competence,cross-sector,,"Luoda yhteenliittymiä, kontakteja tai kumppanuuksia ja vaihtaa tietoja muiden kanssa. edistää integroitua ja avointa yhteistyötä, jossa eri sidosryhmät luovat yhdessä yhteisiin arvoihin liittyviä innovaatioita ja tutkimusta. Luoda oma profiili tai brändi ja olla esillä ja helposti lähestyttävä fyysisessä ympäristössä ja internetin verkostoitumisympäristöissä.
    ",http://data.europa.eu/esco/skill/8a3b45dc-8299-4b67-99db-6542daf79ac3,kehittää ammatillisia suhteita tai verkostoja
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/cd50d616-1f8b-481e-983f-68d2674ff82d,sisällyttää sukupuoliulottuvuus tutkimukseen,released,skill/competence,cross-sector,,Ottaa huomioon koko tutkimusprosessissa naisten ja miesten biologiset ominaisuudet sekä muuttuvat sosiaaliset ja kulttuuriset piirteet (sukupuoli).,http://data.europa.eu/esco/skill/7eafec38-621a-4b6e-9298-bfe70ec0b253,tehdä akateemista tutkimusta tai markkinatutkimusta
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/cd5efa8c-e44d-4cbc-91c6-796018dbed68,suorittaa projektinhallintaa,released,skill/competence,cross-sector,,"Hallinnoida ja suunnitella erilaisia resursseja, kuten henkilöresursseja, talousarviota, määräaikaa, tuloksia ja tietyn hankkeen laatua, sekä seurata hankkeen edistymistä, jotta tietty tavoite voidaan saavuttaa määräajassa määrätyn budjetin mukaisesti.",http://data.europa.eu/esco/skill/ccfbdaad-b91d-4bfe-bd0e-d30b33587f19 | http://data.europa.eu/esco/skill/190f64e1-b7b6-4c53-b20b-80f9215ef6ca,"pitää kirjaa työn edistymisestä | johtaa, valvoa ja koordinoida projekteja"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/da930e2f-6047-4616-a598-bba8ecef3039,hallinnoida avoimia julkaisuja,released,skill/competence,cross-sector,,"Tuntea avointa julkaisemista koskevia strategioita, osata käyttää tietotekniikkaa tutkimuksen tukena ja tuntea CRIS-järjestelmien (nykyiset tutkimustietojärjestelmät) ja institutionaalisten tietovarastojen kehittämistä ja hallinnointia. Antaa lisensointia ja tekijänoikeuksia koskevaa neuvontaa, käyttää bibliometrisiä indikaattoreita sekä mitata tutkimuksen vaikutuksia ja raportoida niitä.
    ",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,käyttää digitaalisia välineitä yhteistyössä ja tuottavuudessa
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e49f4158-9d4c-425d-bf32-dfe89b19840a,suunnitella,released,skill/competence,transversal,tehdä työsuunnitelma,"Hallita aikatavoitteitaan ja voimavarojaan niin, että työtehtävät tulevat tehdyksi suunnitellussa ajassa.
  ",http://data.europa.eu/esco/skill/66fdc34c-2326-4baa-b8ff-7a1d1015fe3a,suunnitella ja organisoida
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f715be1d-5fc4-49d3-82a5-0b8090d12849,yhdistää tietoa,released,skill/competence,cross-sector,,"Lukea, tulkita ja tiivistää kriittisesti uutta ja monitahoista tietoa eri lähteistä.
	",http://data.europa.eu/esco/skill/9af1bd12-01bd-4d6a-947b-69e64f23150a | http://data.europa.eu/esco/skill/29dcc31e-a8d6-4a62-b3c1-2de81e966e39,käsitellä laadullisia tietoja | koota tietoa fyysisistä tai sähköisistä lähteistä
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f7b071bf-4882-4cfc-ae0a-7e0e0ab94c61,tehdä monialaista tutkimusta,released,skill/competence,cross-sector,,"Tehdä tutkimusta, joka ylittää alojen rajat ja toiminnalliset rajat.
	",http://data.europa.eu/esco/skill/7eafec38-621a-4b6e-9298-bfe70ec0b253,tehdä akateemista tutkimusta tai markkinatutkimusta
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fa642fc3-5cc5-41cf-8926-6617a8b976a7,edistää kansalaisten osallistumista tutkimukseen,released,skill/competence,cross-sector,,"Käydä keskustelua kansalaisten kanssa tutkimuksen suunnittelusta, toteuttamisesta ja tulosten levittämisestä.
	",http://data.europa.eu/esco/skill/7d9bace0-63d0-4848-ac87-350a98082c12 | http://data.europa.eu/esco/skill/7eafec38-621a-4b6e-9298-bfe70ec0b253,osallistua aktiivisesti yhteiskunnalliseen toimintaan | tehdä akateemista tutkimusta tai markkinatutkimusta
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ff64e9fc-36dd-4035-872a-83aa41dc1ad9,viestiä tieteellisistä havainnoista,released,skill/competence,cross-sector,,"Kertoa uusista havainnoista kansalaisille ja jakaa heidän kanssaan innostus tieteestä, lisätä kansalaisten tieteeseen liittyvää tietoa, arvostusta ja ymmärrystä sekä edistää tieteellisten tulosten käyttöä mielipiteen muodostamisessa.
	",http://data.europa.eu/esco/skill/8f9f8b20-ff26-4392-b04f-695dcde5b90a,esittää tutkimustietoja tai teknisiä tietoja
