conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/032867c3-3c53-42ad-aabe-030eeb6292ab,mitata puita,released,skill/competence,cross-sector,,"Puun kaikkien asiaankuuluvien mittausten tekeminen: kallistusmittarilla mitataan korkeus, mittanauhalla mitataan ympärysmitta ja kasvukairalla ja kuorimittarilla arvioidaan kasvunopeus.",http://data.europa.eu/esco/skill/ab75d510-ac75-482d-b671-bb3bad741f07 | http://data.europa.eu/esco/skill/23d7bd85-d8d5-4455-b64d-3b0998f2425d,tehdä työhön liittyviä mittauksia | mitata ulottuvuuksia ja niihin liittyviä ominaisuuksia
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03d93bf5-3c09-489c-a0d7-a895b068041a,pelastaa eläimiä,released,skill/competence,sector-specific,,"Sellaisissa tilanteissa olevien eläinten pelastaminen, joissa niiden hyvinvointiin kohdistuu välitön tai mahdollinen uhka.",http://data.europa.eu/esco/skill/e9eb9c23-c1f4-4ce9-83c9-2f6a211cc536,varmistaa fyysinen turvallisuus ja valvoa sitä
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04012dd1-478d-4eec-9951-dd623bfe86ca,ilmastoälykäs maatalous,released,knowledge,sector-specific,,"Ruoantuotannon lisääminen, kasvien kestävyyden parantaminen, elintarviketurvallisuuden parantaminen, päästöjen vähentäminen ja ilmastonmuutokseen mukautuminen yhdistämällä maatalouden ja maankäytön suunnittelu.   ",http://data.europa.eu/esco/isced-f/0811,maanviljely ja kotieläintalous
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/052b829c-67c5-466f-9300-0e0b001a68ef,valmistella energiatehokkuussopimuksia,released,skill/competence,sector-specific,,"Sellaisten sopimusten valmistelu ja tarkastaminen, joissa kuvataan energiatehokkuutta ja varmistetaan samalla, että ne ovat lakisääteisten vaatimusten mukaisia.
	",http://data.europa.eu/esco/skill/7954861c-86d4-4529-afbb-2c23dab9ac74 | http://data.europa.eu/esco/skill/6e62e776-fbfa-486c-a6df-58cd239c86fe,löytää sovintoratkaisu | harjoittaa teknistä tai akateemista kirjoittamista
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0562cd60-cd92-47c3-bc63-30a55c5ca4fe,tutkia geokemiallisia näytteitä,released,skill/competence,sector-specific,,"Laboratorionäytteiden analysointi esimerkiksi spektrometrillä, kaasukromatografilla, mikroskoopeilla, mikrokoettimilla ja hiilianalysaattoreilla. Ympäristönäytteiden, kuten mineraalien, kiven tai maa-aineksen, iän ja ominaisuuksien määrittäminen.",http://data.europa.eu/esco/skill/b5a1fc87-c9f2-41f4-a1ae-28e023715592 | http://data.europa.eu/esco/skill/d2e8f452-ac19-4eed-b984-8f55d2a5b763,testata näytteitä | testata ja analysoida aineita
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05e5e14f-ffa6-4106-b311-c6335ccc2bd2,aurinkoenergia,released,knowledge,cross-sector,,"Energia, joka on peräisin auringon valosta ja lämmöstä ja jota käyttää uusiutuvana energialähteenä hyödyntämällä erilaisia tekniikoita, kuten valosähköistä aurinkokennotekniikkaa sähköntuotantoa varten ja termistä aurinkoenergiaa lämpöenergian tuotantoa varten.",http://data.europa.eu/esco/isced-f/0713,sähkö ja energia
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0625e737-2b29-4835-ac28-aeec4a8dc0f2,testata paperituotantonäytteitä,released,skill/competence,sector-specific,,"Testinäytteiden hankkiminen siistauksen ja paperin kierrätysprosessin eri vaiheissa. Näytteiden käsittely esimerkiksi lisäämällä mitattu määrä väriaineliuosta ja niiden testaaminen määrittämällä sellaiset arvot kuin pH-taso, repäisylujuus tai hajoamisaste.",http://data.europa.eu/esco/skill/cd4b9e72-a18d-44bd-b227-14bbdd162dc1 | http://data.europa.eu/esco/skill/d2e8f452-ac19-4eed-b984-8f55d2a5b763,valmistella testattavia näytteitä | testata ja analysoida aineita
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/062ec888-7fd2-4b1e-860e-4cdcc9503ab3,vastata maavaroja koskevista luvista,released,skill/competence,sector-specific,,Maankäytön resurssien käytöstä vesi- ja vesielinympäristöihin aiheutuvien mahdollisten vaikutusten tutkiminen. Suositusten tekeminen lupien hyväksymisestä tai hylkäämisestä näitä tarkoituksia varten.,http://data.europa.eu/esco/skill/1bc1cf2a-a7f6-4769-a13b-cc26a2214498,"laatia asiakirjoja sopimuksia, hakemuksia tai lupia varten"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/06a4004d-ee47-44ff-ae2f-a038ba0c0256,Tehdä toteutettavuustutkimus pienimuotoisesta tuulivoimasta,released,skill/competence,sector-specific,,"Arvioida pienimuotoisten tuulivoimajärjestelmien potentiaalia. Toteuttaa standardoitu tutkimus, jotta voidaan arvioida rakennuksen sähköenergian tarvetta ja pienimuotoisen tuulivoiman osuutta kokonaistarjonnasta, ja tehdä tutkimusta päätöksenteon tueksi.
	",http://data.europa.eu/esco/skill/d74df140-eb69-43e2-bac9-1cafc824d702 | http://data.europa.eu/esco/skill/ec528c47-65f4-4187-9dc1-5a8889f84a06,tehdä kannattavuustutkimus | analysoida liiketoimintaa
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/072f35a1-98e7-4a6c-9a19-474ace5644da,viljellä viljaa biomassaksi,released,skill/competence,sector-specific,,"Kasvien viljely biomassaksi, viljelykasviprosessi biomassaa varten.",http://data.europa.eu/esco/skill/b7c82b1b-cff9-4641-a62f-e4e28395eade,viljellä maata ja viljelykasveja
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/078e6210-224d-4331-9c8e-f881259b6bb0,torjunta-aineiden turvallinen käyttö,released,knowledge,sector-specific,tuholaismyrkkyjen turvallinen käyttö,"Tuholaisia hävittävien kemiallisten aineiden kuljetusta, varastointia ja käsittelyä koskevat varotoimet ja määräykset.",http://data.europa.eu/esco/isced-f/0811,maanviljely ja kotieläintalous
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07c29939-d5fe-4f7f-8546-f1d02fd352db,tarkastaa siilojärjestelmiä,released,skill/competence,sector-specific,,Siilojärjestelmien tarkastaminen mahdollisten haitallisten päästöjen minimoimiseksi niiden käytön aikana.,http://data.europa.eu/esco/skill/8064ae65-5d1b-44e1-9aaf-246a4285a9a6,noudattaa ympäristönsuojelulakeja ja -normeja
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07ec6866-d283-46a6-991c-e8ce0c6fc159,tulkita tieteellisiä testituloksia veden laadun arvioimiseksi,released,skill/competence,cross-sector,,Biologisia ominaisuuksia koskevien tietojen analysointi ja tulkinta veden laadun selvittämiseksi.,http://data.europa.eu/esco/skill/1aae38c8-f75a-4009-8aa0-c5fa94b06e6b | http://data.europa.eu/esco/skill/1d6c7de4-350e-4868-a47b-333b4b0d9650 | http://data.europa.eu/esco/skill/36ff57b0-637d-4a83-a0e8-d14f86f9f078 | http://data.europa.eu/esco/skill/ba1f6201-b206-4459-b178-706db34a851d,"johtaa vedenlaadun testausta | arvioida dataa, tietoa ja digitaalista sisältöä | analysoida tieteellisiä tutkimustuloksia | analysoida tieteellisiä ja lääketieteellisiä tietoja"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/081d7679-5070-4777-bece-a28c49f15636,ympäristöpolitiikka,released,knowledge,cross-sector,,"Paikalliset, kansalliset ja kansainväliset politiikat, joilla edistetään ekologista kestävyyttä ja sellaisten hankkeiden kehittämistä, joilla vähennetään kielteisiä ympäristövaikutuksia ja parannetaan ympäristön tilaa.",http://data.europa.eu/esco/isced-f/0521,ympäristötieteet
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/089ee650-297e-4716-87d1-440743b70a0d,varmistaa ympäristölainsäädännön noudattaminen,released,skill/competence,cross-sector,,"Sellaisten toimintojen valvonta ja tehtävien suorittaminen, joilla varmistetaan ympäristönsuojelua ja kestävyyttä koskevien vaatimusten noudattaminen, ja toimien muuttaminen, jos ympäristölainsäädännössä tapahtuu muutoksia. Sen varmistaminen, että prosessit ovat ympäristöä koskevien säännösten ja parhaiden käytäntöjen mukaisia.",http://data.europa.eu/esco/skill/1dae8445-12e5-423a-bb26-824010e299b9 | http://data.europa.eu/esco/skill/8064ae65-5d1b-44e1-9aaf-246a4285a9a6,varmistaa lakisääteisten vaatimusten noudattaminen | noudattaa ympäristönsuojelulakeja ja -normeja
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08a5f6dd-d3dd-4371-9919-6d730f34499c,kiinnittää aurinkosähköpaneeleja,released,skill/competence,occupation-specific,kiinnittää aurinkosähkökennoja,Aurinkopaneelien varma asentaminen tietyllä kiinnitysjärjestelmällä määriteltyyn asentoon ja kaltevuuteen.,http://data.europa.eu/esco/skill/30b280e7-2468-440b-a78f-f1e7f515d60a,"sijoittaa materiaaleja, työkaluja tai laitteita"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0aabb61b-5382-490a-bf44-375858f9cd3e,vuorovesigeneraattorien tyypit,released,knowledge,sector-specific,,"Erityyppiset generaattorit, kuten ristivirtausturbiinit, virtausvahvistusta hyödyntävät turbiinit, Venturi-ilmiötä hyödyntävät laitteet tai turbiineihin yhdistetyt vedenalaiset leijat. Niillä voidaan tuottaa energiaa merivirroista sekä veden virtauksista joissa tai estuaareissa hyödyntämällä vuorovesivaihtelua.
	",http://data.europa.eu/esco/isced-f/0713,sähkö ja energia
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0ad6d5e8-593f-4191-843c-439b23a468ca,tehdä energiakatselmus,released,skill/competence,sector-specific,tehdä energiatarkastus,Energiankulutuksen analysointi ja arviointi järjestelmällisesti energiatehokkuuden parantamiseksi.,http://data.europa.eu/esco/skill/ec528c47-65f4-4187-9dc1-5a8889f84a06 | http://data.europa.eu/esco/skill/7dd94ad3-13d6-43fe-8b94-51fcbf67ced9,analysoida liiketoimintaa | ajatella kriittisesti
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0b4f100c-813d-4eec-8aa5-4227bb98c635,aluksiin liittyvät lainsäädännölliset vaatimukset,released,knowledge,sector-specific,laivoihin liittyvät lainsäädännölliset vaatimukset,"Kansainvälisen merenkulkujärjestön (IMO) yleissopimuksia, jotka koskevat ihmishengen turvallisuutta merellä, turvatoimia ja meriympäristön suojelua.",http://data.europa.eu/esco/skill/243ffeb4-3395-4e39-9cf0-695be5b142aa | http://data.europa.eu/esco/isced-f/0421,merioikeus | oikeustieteet
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0bca9840-478a-40fd-a6c3-c8cc923add98,kehittää hallintasuunnitelmia,released,skill/competence,sector-specific,,"Sellaisten hallintosuunnitelmien kehittäminen, joilla ylläpidetään kalastusalueita ja elinympäristöjä tai palautetaan ne tarvittaessa ennalleen.",http://data.europa.eu/esco/skill/37272760-957a-4c34-b4f3-780ee285334d,"laatia rahoitus-, liiketoiminta- tai markkinointisuunnitelmia"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0cf3117a-c627-48e0-8d55-65b0f4557ae5,käyttää kestäviä maanmuokkausmenetelmiä,released,skill/competence,sector-specific,,"Käyttää kestäviä maanmuokkausmenetelmiä, kuten säilyttävää maanmuokkausta tai suorakylvöä, jotta vaikutus maaperään voidaan minimoida.
   ",http://data.europa.eu/esco/skill/b7c82b1b-cff9-4641-a62f-e4e28395eade,viljellä maata ja viljelykasveja
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0d0fe364-462d-48dd-b54b-e972e2bdecb1,eristysmateriaalityypit,released,knowledge,cross-sector,eristemateriaalityypit,"Erilaiset eristysmateriaalityypit ja niiden käyttötarkoitukset, edut, riskit ja kustannukset.",http://data.europa.eu/esco/isced-f/0732,rakentaminen ja rakennussuunnittelu
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0d75a128-bd88-4c1b-b70d-8e963aeb490c,ottaa käyttöön tapoja pilaantumisen vähentämiseksi,released,skill/competence,transversal,,"Toteuttaa toimenpiteitä ilman, vesien tai ympäristön pilaantumisen tai ääni- ja valosaasteen vähentämiseksi esimerkiksi käyttämällä julkista liikennettä, olemalla roskaamatta luontoa ja vähentämällä tarpeettomia valo- ja melupäästöjä erityisesti yöaikaan.
  ",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,soveltaa ympäristöön liittyviä taitoja ja tietoja
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0d7f5ea2-dee7-4d6f-9f1d-93772148e6f8,arvioida eläinten hoitoa,released,skill/competence,sector-specific,,"Useiden eri eläinten hoidon arvioiminen, mukaan lukien eläinten hoito, hyvinvointi ja elinympäristö eläintarhassa, villieläinpuistossa, tallissa, tilalla tai eläintutkimuslaitoksessa.",http://data.europa.eu/esco/skill/c5ff50d7-97d3-401e-90ac-e5ae756a52de,seurata ihmisten tai eläinten terveydentilaa
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0e0b8991-4b24-4bb8-9113-df3ce43c1ff9,antaa kaivostoiminnan ympäristövaikutuksiin liittyviä neuvoja,released,skill/competence,sector-specific,,"Neuvoa insinöörejä, maanmittaajia, geoteknistä henkilöstöä ja metallurgeja ympäristönsuojelussa ja maan kunnostamisessa kaivostoiminnan yhteydessä.
    ",http://data.europa.eu/esco/skill/045f71e6-0699-4169-8a54-9c6b96f3174d | http://data.europa.eu/esco/skill/8df86db8-dfcd-414b-854f-ad1cdb18d733 | http://data.europa.eu/esco/skill/062a9fde-cd91-44f9-9a2f-9e2bc3b281fd,neuvoa muita | välittää tietoja kaivostoiminnan ympäristövaikutuksista | neuvoa ympäristökysymyksissä
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0e628dde-8d1b-4a1d-b973-a349fe1725c8,toteuttaa sedimentaation hallintaan liittyviä toimenpiteitä,released,skill/competence,sector-specific,säädellä sedimentaatiota,"Sedimentaation hallintaprosessien ja -hankkeiden hallinnointi. Sedimentaation hallintatoimien suunnittelu, jotta estetään kuluneen maan pilaantuminen lähistöllä olevien vesiväylien vuoksi.",http://data.europa.eu/esco/skill/0779d482-4154-4fbb-9a22-d9fd89c39d67,"organisoida, suunnitella ja aikatauluttaa työtä ja toimintoja"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0e78d9c9-7c3c-4c5c-82cb-205c16edbcb8,tietokoneen ekologinen käyttö,released,knowledge,occupation-specific,,"Tieto- ja viestintätekniikan järjestelmien käyttö ympäristön kannalta vastuullisella ja kestävällä tavalla, kuten energiatehokkaiden palvelinten ja keskusyksiköiden (CPU) käyttöönotto, resurssien vähentäminen ja sähkö- ja elektroniikkalaiteromun asianmukainen hävittäminen.",http://data.europa.eu/esco/isced-f/0712,ympäristönsuojeluteknologia
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0e81fcff-2fb5-4c87-afc2-49b5e5d9db50,käyttää biokaasulaitosta,released,skill/competence,occupation-specific,,"Sellaisten laitteiden käyttäminen, joissa käsitellään energiakasveja ja anaerobisiksi mädätyslaitoksiksi kutsutuilta tiloilta tulevaa jätettä. Sen varmistaminen, että laitteet toimivat asianmukaisesti biomassan muuntamisessa biokaasuksi, jota käytetään lämmön ja sähkön tuotannossa.",http://data.europa.eu/esco/skill/d3b2c894-33fb-47c4-aff0-27935a082bf6,"käyttää öljyn, kemikaalien tai veden käsittelyn järjestelmiä tai laitteita"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0f4cc60e-820e-439d-8810-31a2cc27ada6,käyttää veden desinfiointivälineitä,released,skill/competence,sector-specific,,"Veden desinfiointivälineiden käyttäminen erilaisilla menetelmien ja tekniikoiden, kuten mekaanisen suodatuksen, avulla tarpeista riippuen.",http://data.europa.eu/esco/skill/d3b2c894-33fb-47c4-aff0-27935a082bf6,"käyttää öljyn, kemikaalien tai veden käsittelyn järjestelmiä tai laitteita"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/101e6f4c-c892-4812-9e2c-f2b888771bb3,testata tuuliturbiinien lapoja,released,skill/competence,sector-specific,,"Testata sellaisia uusien tuuliturbiinien lapojen malleja, jotka on tarkoitettu tuulipuistoihin, ja varmistaa, että lavat ovat toimivia ja turvallisia kohdetuulipuistoissa käytettäviksi.
   ",http://data.europa.eu/esco/skill/6d0cad66-82dd-4854-a03a-68232942c68d,asentaa puu- ja metalliosia
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/108320f7-c8a1-4386-aed9-91054ab05619,kehittää maatalouspolitiikkaa,released,skill/competence,cross-sector,,"Sellaisten ohjelmien laatiminen, joilla kehitetään maatalouden uusia teknologioita ja menetelmiä sekä kehitetään ja toteutetaan maatalouden kestävää kehitystä ja ympäristötietoisuutta.",http://data.europa.eu/esco/skill/8ed41305-4abf-4b54-9f8f-0e043d26feba,laatia toimintapolitiikkaa ja lainsäädäntöä
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/10ff3d22-1f29-48bc-98e4-63fc61c78034,sosiaaliset allianssit,released,knowledge,sector-specific,,"Eri toimijoiden (yritykset, voittoa tavoittelemattomat järjestöt ja julkisen sektorin organisaatiot) välisten kumppanuuksien muodostaminen resurssien jakamiseksi tai tietojen vaihtamiseksi yhteistä päämäärää varten, usein yhteiskunnalliseen tai ympäristöhaasteeseen vastaamiseksi.
   ",http://data.europa.eu/esco/isced-f/0314,sosiologia ja kulttuuriopinnot
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/111b9dad-b2e0-4b55-8d0f-2e41cb435f64,"varmistaa, etteivät rehun lisäaineet aiheuta haittavaikutuksia",released,skill/competence,occupation-specific,,"Sen varmistaminen, että rehun lisäaineet arvioidaan tieteellisesti sen arvioimiseksi, onko lisäaineella ihmisten tai eläinten terveydelle tai ympäristölle haitallisia vaikutuksia.",http://data.europa.eu/esco/skill/5bcec244-3efe-45ac-8891-0ab4a91e9c48,noudattaa työsuojelumenettelyjä
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/114a79ef-1e62-475b-a862-954f5b4cca20,kehittää jätehuoltoprosesseja,released,skill/competence,sector-specific,,"Sellaisten laitteiden, menetelmien ja menettelyjen kehittäminen, joita voidaan soveltaa erityyppisissä jätteenkäsittelylaitoksissa ja jätehuoltolaitoksissa, jotta voidaan parantaa jätehuoltoprosessien tehokkuutta, vähentää ympäristövaikutuksia ja varmistaa jätehuollon henkilöstön turvallisuus.",http://data.europa.eu/esco/skill/c23e0a2f-f04b-45bc-b0dd-20571f6b502c | http://data.europa.eu/esco/skill/73a9561d-112c-4d8a-9d5f-b2c11c5bbd5f,laatia toimintaperiaatteita ja -menettelyjä | vastata jätteistä
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/118796d8-28a3-4865-bcd0-d037f4abcc0f,koordinoida kasvihuoneen olosuhteita,released,skill/competence,sector-specific,,Kasvihuoneiden lämmöstä ja jäähdytyksestä huolehtiminen. Työskentely yhdessä rakennusten ja tilusten hoitajan kanssa kastelujärjestelmien ja puutarhalaitteiden pitämiseksi hyvässä kunnossa.,http://data.europa.eu/esco/skill/87dff904-fb74-4d59-972e-1c2387579d94,johtaa operatiivista toimintaa
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/128f318e-1bc8-4921-821f-b0aad1d98922,määrittää asianmukainen lämmitys- ja jäähdytysjärjestelmä,released,skill/competence,sector-specific,,"Määrittää asianmukainen järjestelmä, joka täyttää lähes nollaenergiarakennusta koskevat vaatimukset, saatavilla olevien energialähteiden (maaperä, kaasu, sähkö, kaukolämpö jne.) perusteella.
	",http://data.europa.eu/esco/skill/6ee936b0-4e0c-4e04-97c7-1f4ee9230d67,kehittää tavoitteita ja strategioita
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/12d7ea6f-ec1f-4f9a-a50b-8e2e9693f068,vaarallisten aineiden kuljetus,released,knowledge,sector-specific,vaarallisen materiaalin kuljetus,"Määräykset ja turvallisuusmenettelyt, jotka liittyvät vaarallisten aineiden ja tuotteiden, kuten vaarallisten jätteiden, kemikaalien, räjähteiden ja syttyvien aineiden, kuljetukseen.",http://data.europa.eu/esco/isced-f/1041,kuljetuspalvelut
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1565b401-1754-4b07-8f1a-eb5869e64d95,ilmastonmuutoksen vaikutukset,released,knowledge,cross-sector,,"Ymmärtää ilmastonmuutoksen vaikutukset biologiseen monimuotoisuuteen sekä kasvien ja eläinten elinolosuhteisiin.
    ",http://data.europa.eu/esco/isced-f/0532,geotieteet
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/15c522eb-cd6d-4b00-9d95-db20c0f8df88,automaattivaihteistojen energiansäästöpotentiaali,released,knowledge,occupation-specific,,"Potentiaali energian säästämiseen automaattivaihteistoissa eri mekanismien, kuten tehokkuuden parantamisen ja tulevien tapahtumien ennakoinnin, kautta.
   ",http://data.europa.eu/esco/skill/83fc0b2b-6cd2-46af-b1ff-d3fc83604c26 | http://data.europa.eu/esco/isced-f/0713,energiatehokkuus | sähkö ja energia
